estuve,estuviste,estuvo,estuvimos,estuvisteis,esutuvieron
fui,fuiste,fue,fuimos,fuisteis,fueron
tuve,tuviste,tuvo,tuvimos,tuvisteis,tuvieron
quise,quisiste,quiso,quisimos,quisisteis,quisieron
pude,pudiste,pudo,pudimos,pudisteis,pudieron
serví,serviste,sirvió,servimos,servisteis,sirvieron
vi,viste,vio,vimos,visteis,vieron
dije,diste,dijo,dijimos,dijisteis,dijeron
di,diste,dio,dimos,disteis,dieron
oí,oíste,oyó,oímos,oísteis,oyeron
vine,viniste,vino,vinimos,vinisteis,vinieron
hice,hiciste,hizo,hicimos,hicisteis,hicieron
puse,pusiste,pudo,pusimos,pusisteis,pusieron
estudié,estudiaste,estudió,estudiamos,estudiasteis,estudiaron
tomé,tomaste,tomó,tomamos,tomasteis,tomaron
hablé,hablaste,habló,hablamos,hablasteis,hablaron
comí,comiste,comió,comimos,comisteis,comieron
viví,viviste,vivió,vivimos,vivisteis,vivieron
vendí,vendiste,vendió,vendimos,vendisteis,vendieron
abrí,abriste,abrió,abrimos,abristeis,abrieron
aprendí,aprendiste,aprendió,aprendimos,aprendisteis,aprendieron
entré,entraste,entró,entramos,entrasteis,entraron
miré,miraste,miró,miramos,mirasteis,miraron
lavé,lavaste,lavó,lavamos,lavasteis,lavaron
gusté,gustaste,gustó,gustamos,gustasteis,gustaron
llamé,llamaste,llamó,llamamos,llamasteis,llamaron
usé,usaste,usó,usamos,usasteis,usaron
leí,leiste,leó,leimos,leisteis,leieron
corrí,corriste,corrió,corrimos,corristeis,corrieron
permití,permitiste,permitó,permitimos,permisteis,permieron
